"state","county","total_population_20","incarcerated_20","total_population_10","incarcerated_10","total_population_00","incarcerated_00","FIPS"
"NE","Adams County","31205","28","31364","28","31151","215","31001"
"NE","Antelope County","6295","20","6685","6","7452","3","31003"
"NE","Arthur County","434","0","460","0","444","0","31005"
"NE","Banner County","674","0","690","0","819","0","31007"
"NE","Blaine County","431","0","478","0","583","0","31009"
"NE","Boone County","5379","5","5505","2","6259","5","31011"
"NE","Box Butte County","10842","18","11308","11","12158","14","31013"
"NE","Boyd County","1810","0","2099","0","2438","0","31015"
"NE","Brown County","2903","5","3145","0","3525","1","31017"
"NE","Buffalo County","50084","216","46102","96","42259","63","31019"
"NE","Burt County","6722","0","6858","0","7791","0","31021"
"NE","Butler County","8369","14","8395","30","8767","0","31023"
"NE","Cass County","26598","71","25241","90","24334","0","31025"
"NE","Cedar County","8380","9","8852","4","9615","6","31027"
"NE","Chase County","3893","0","3966","0","4068","0","31029"
"NE","Cherry County","5455","8","5713","3","6148","7","31031"
"NE","Cheyenne County","9468","11","9998","7","9830","11","31033"
"NE","Clay County","6104","12","6542","5","7039","5","31035"
"NE","Colfax County","10582","0","10515","0","10441","9","31037"
"NE","Cuming County","9013","0","9139","0","10203","0","31039"
"NE","Custer County","10545","4","10939","6","11793","10","31041"
"NE","Dakota County","21582","80","21006","65","20253","30","31043"
"NE","Dawes County","8199","30","9182","16","9060","13","31045"
"NE","Dawson County","24111","79","24326","95","24365","122","31047"
"NE","Deuel County","1838","0","1941","0","2098","0","31049"
"NE","Dixon County","5606","17","6000","8","6339","5","31051"
"NE","Dodge County","37167","0","36691","44","36160","28","31053"
"NE","Douglas County","584526","2115","517110","2170","463585","1696","31055"
"NE","Dundy County","1654","0","2008","0","2292","0","31057"
"NE","Fillmore County","5551","1","5890","6","6634","4","31059"
"NE","Franklin County","2889","0","3225","1","3574","1","31061"
"NE","Frontier County","2519","3","2756","3","3099","3","31063"
"NE","Furnas County","4636","4","4959","2","5324","2","31065"
"NE","Gage County","21704","17","22311","25","22993","9","31067"
"NE","Garden County","1874","0","2057","0","2292","0","31069"
"NE","Garfield County","1813","0","2049","0","1902","0","31071"
"NE","Gosper County","1893","0","2044","0","2143","0","31073"
"NE","Grant County","611","0","614","0","747","0","31075"
"NE","Greeley County","2188","0","2538","0","2714","0","31077"
"NE","Hall County","62895","226","58607","225","53534","112","31079"
"NE","Hamilton County","9429","10","9124","9","9403","5","31081"
"NE","Harlan County","3073","7","3423","3","3786","1","31083"
"NE","Hayes County","856","0","967","0","1068","0","31085"
"NE","Hitchcock County","2616","7","2908","4","3111","7","31087"
"NE","Holt County","10127","3","10435","4","11551","6","31089"
"NE","Hooker County","711","0","736","0","783","0","31091"
"NE","Howard County","6475","0","6274","0","6567","0","31093"
"NE","Jefferson County","7240","7","7547","8","8333","10","31095"
"NE","Johnson County","5290","1031","5217","904","4488","0","31097"
"NE","Kearney County","6688","2","6489","5","6882","4","31099"
"NE","Keith County","8335","24","8368","8","8875","15","31101"
"NE","Keya Paha County","769","0","824","0","983","0","31103"
"NE","Kimball County","3434","9","3821","6","4089","3","31105"
"NE","Knox County","8391","7","8701","6","9374","8","31107"
"NE","Lancaster County","322608","3472","285407","2851","250291","2860","31109"
"NE","Lincoln County","34676","155","36288","59","34632","73","31111"
"NE","Logan County","716","0","763","0","774","0","31113"
"NE","Loup County","607","0","632","0","712","0","31115"
"NE","McPherson County","399","0","539","0","533","0","31117"
"NE","Madison County","35585","58","34876","68","35226","96","31119"
"NE","Merrick County","7668","9","7845","10","8204","5","31121"
"NE","Morrill County","4555","2","5042","4","5440","5","31123"
"NE","Nance County","3380","0","3735","0","4038","0","31125"
"NE","Nemaha County","7074","13","7248","13","7576","4","31127"
"NE","Nuckolls County","4095","0","4500","0","5057","0","31129"
"NE","Otoe County","15912","20","15740","11","15396","10","31131"
"NE","Pawnee County","2544","0","2773","0","3087","0","31133"
"NE","Perkins County","2858","0","2970","0","3200","0","31135"
"NE","Phelps County","8968","25","9188","48","9747","1","31137"
"NE","Pierce County","7317","6","7266","12","7857","11","31139"
"NE","Platte County","34296","66","32237","110","31662","35","31141"
"NE","Polk County","5214","2","5406","1","5639","3","31143"
"NE","Red Willow County","10702","197","11055","158","11448","3","31145"
"NE","Richardson County","7871","16","8363","6","9531","9","31147"
"NE","Rock County","1262","0","1526","0","1756","0","31149"
"NE","Saline County","14292","64","14200","83","13843","3","31151"
"NE","Sarpy County","190604","123","158840","155","122595","151","31153"
"NE","Saunders County","22278","63","20780","109","19830","14","31155"
"NE","Scotts Bluff County","36084","225","36970","114","36951","43","31157"
"NE","Seward County","17609","26","16750","18","16496","23","31159"
"NE","Sheridan County","5127","13","5469","8","6198","21","31161"
"NE","Sherman County","2959","0","3152","0","3318","0","31163"
"NE","Sioux County","1135","0","1311","0","1475","0","31165"
"NE","Stanton County","5842","0","6129","0","6455","0","31167"
"NE","Thayer County","5034","0","5228","3","6055","0","31169"
"NE","Thomas County","669","0","647","0","729","0","31171"
"NE","Thurston County","6773","31","6940","7","7171","15","31173"
"NE","Valley County","4059","0","4260","5","4647","4","31175"
"NE","Washington County","20865","8","20234","23","18780","30","31177"
"NE","Wayne County","9697","0","9595","0","9851","0","31179"
"NE","Webster County","3395","0","3812","5","4061","2","31181"
"NE","Wheeler County","774","0","818","0","886","0","31183"
"NE","York County","14125","304","13665","298","14598","206","31185"
"ID","Ada County","494967","6357","392365","6401","300904","3848","16001"
"ID","Adams County","4379","24","3976","19","3476","19","16003"
"ID","Bannock County","87018","556","82839","557","75565","518","16005"
"ID","Bear Lake County","6372","0","5986","0","6411","2","16007"
